alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-07-04T00:00:00Z,NA,318.15002,Unknown / Unidentified,Other,8,South Interior,103810.781,8.6,1.4,0.072,0.4679,83.5759
1980-07-04T00:00:00Z,NA,1336.8134,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,3.6,3.1,0.0379,1.1799,379.8037
1980-07-04T00:00:00Z,NA,9.0061312,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.8,2.1,0.0235,1.231,518.9052
1980-07-04T00:00:00Z,1980-07-06T00:00:00Z,519.01544,Vehicle,Vehicle,5,Central Valley,74899.613,9.1,4.4,1.909,0.3519,94.7416
1980-07-05T00:00:00Z,1980-07-09T00:00:00Z,4997.9219,Campfire,Human,4,South Sierran,31366.273,10.9,58.6,1.1855,0.0202,0.4069
1980-07-05T00:00:00Z,1980-07-09T00:00:00Z,1830.442,Miscellaneous,Other,4,South Sierran,31366.273,12.9,35.2,1.9007,0.0646,7.61
1980-07-05T00:00:00Z,NA,115.09447,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.2,0,0.026,1.609,832.8071
1980-07-06T00:00:00Z,NA,64.615822,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0,5.1,0.0325,1.3252,587.6849
1980-07-06T00:00:00Z,NA,38.720058,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.3,0,0.0149,1.3545,808.1981
1980-07-06T00:00:00Z,NA,200.84946,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0,0,0.023,1.3401,715.6952
1980-07-06T00:00:00Z,1980-11-01T00:00:00Z,999.31702,Lightning,Natural,4,South Sierran,31366.273,29.1,55.9,0.9489,0.021,0.8702
1980-07-07T00:00:00Z,NA,598.81226,Unknown / Unidentified,Other,8,South Interior,103810.781,10.8,4.6,0.0868,0.4405,69.4527
1980-07-08T00:00:00Z,1980-07-08T00:00:00Z,6.8354826,Debris,Human,1,North Coast and Montane,64191.163,32.5,29.5,0.4868,0.0627,3.1957
1980-07-08T00:00:00Z,1980-07-08T00:00:00Z,15.679358,Arson,Human,4,South Sierran,31366.273,9.5,35.7,1.2909,0.0814,9.57
1980-07-09T00:00:00Z,NA,985.27905,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.5,0,0.0231,1.4664,822.927
1980-07-10T00:00:00Z,NA,17.045938,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.7,0,0.0253,1.492,743.0767
1980-07-11T00:00:00Z,NA,109.79228,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.3,0,0.0229,0.6342,267.4415
1980-07-12T00:00:00Z,NA,137.21701,Unknown / Unidentified,Other,8,South Interior,103810.781,2.7,0,0.0514,0.9736,319.6725
1980-07-12T00:00:00Z,NA,35.157608,Unknown / Unidentified,Other,8,South Interior,103810.781,3.3,0,0.0516,0.9763,321.9741
1980-07-12T00:00:00Z,NA,65.644936,Unknown / Unidentified,Other,8,South Interior,103810.781,2.3,0,0.0514,0.9658,318.9525
1980-07-12T00:00:00Z,1980-07-12T00:00:00Z,13.580912,Smoking,Human,7,South Coast and Montane,42488.862,4.5,3.2,0.0636,0.9548,395.3608
1980-07-13T00:00:00Z,NA,384.116,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.4,0,0.0252,1.1539,540.6648
1980-07-13T00:00:00Z,NA,18.113638,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.3,1.6,0.0238,1.2427,526.1436
1980-07-15T00:00:00Z,NA,63.242172,Unknown / Unidentified,Other,8,South Interior,103810.781,2.1,1.7,0.1736,0.4979,143.7741
1980-07-16T00:00:00Z,NA,7603.917,Unknown / Unidentified,Other,8,South Interior,103810.781,0.1,0,0.0358,1.2307,451.5763
1980-07-16T00:00:00Z,NA,461.48032,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.1,0,0.0243,1.3246,602.1908
1980-07-16T00:00:00Z,NA,1080.4955,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.1,0,0.0254,1.4628,722.6379
1980-07-16T00:00:00Z,NA,140.29814,Unknown / Unidentified,Other,8,South Interior,103810.781,0,4.8,0.3131,0.3676,90.6398
1980-07-18T00:00:00Z,NA,265.77499,Miscellaneous,Other,7,South Coast and Montane,42488.862,0.9,0,0.0177,1.278,724.0258
1980-07-19T00:00:00Z,NA,3313.6401,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,3,0.8,0.0206,1.1217,588.8117
1980-07-20T00:00:00Z,NA,824.45612,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,2.7,0,0.0351,1.0873,487.4557
1980-07-20T00:00:00Z,1980-07-20T00:00:00Z,10.033821,Arson,Human,7,South Coast and Montane,42488.862,2.3,1.6,0.0822,0.7053,204.0572
1980-07-20T00:00:00Z,NA,2002.7682,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,9.1,6.4,0.1309,0.4212,45.5861
1980-07-20T00:00:00Z,NA,63.981571,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.4,0,0.0241,1.4297,704.1247
1980-07-21T00:00:00Z,1980-07-22T00:00:00Z,3.983196,Equipment Use,Human,1,North Coast and Montane,64191.163,25.9,71,4.0151,0.0234,1.9594
1980-07-22T00:00:00Z,NA,161.43694,Campfire,Human,9,Great Basin,52777.643,26.6,16.9,0.5269,0.2801,27.6757
1980-07-22T00:00:00Z,NA,286.86832,Unknown / Unidentified,Other,8,South Interior,103810.781,0.8,5.6,0.2703,0.3742,93.4457
1980-07-22T00:00:00Z,NA,64.812874,Unknown / Unidentified,Other,8,South Interior,103810.781,3.2,1.3,0.1797,0.5195,149.6991
1980-07-23T00:00:00Z,NA,74.945747,Miscellaneous,Other,7,South Coast and Montane,42488.862,1.5,0,0.0246,1.136,655.7298
1980-07-23T00:00:00Z,NA,358.00409,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,11.2,21.2,0.3392,0.1014,16.9797
1980-07-23T00:00:00Z,NA,493.08688,Unknown / Unidentified,Other,8,South Interior,103810.781,14.8,9.6,0.0964,0.4488,64.5123
1980-07-23T00:00:00Z,NA,326.5816,Lightning,Natural,7,South Coast and Montane,42488.862,33.9,23.4,0.0297,0.2234,45.7363
1980-07-24T00:00:00Z,NA,2049.7585,Unknown / Unidentified,Other,8,South Interior,103810.781,1.3,0,0.0739,0.7709,225.7906
1980-07-24T00:00:00Z,NA,83.538002,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,0.3,33,0.2869,0.0677,11.2094
1980-07-26T00:00:00Z,NA,15.051052,Lightning,Natural,9,Great Basin,52777.643,4.9,63.4,1.662,0.0225,0.5899
1980-07-26T00:00:00Z,1980-07-27T00:00:00Z,42.445515,Lightning,Natural,7,South Coast and Montane,42488.862,7.6,1.8,0.1324,0.6255,74.1922
1980-07-27T00:00:00Z,1980-07-30T00:00:00Z,854.49359,Lightning,Natural,6,Central Coast and Montane,38989.393,39.3,35.9,0.1316,0.278,29.03
1980-07-27T00:00:00Z,NA,5998.1631,Lightning,Natural,7,South Coast and Montane,42488.862,31.7,30.3,0.0335,0.4092,47.0584
1980-07-27T00:00:00Z,NA,48.404118,Unknown / Unidentified,Other,8,South Interior,103810.781,1.6,0,0.0377,0.3246,70.6439
1980-07-27T00:00:00Z,NA,174.20052,Unknown / Unidentified,Other,8,South Interior,103810.781,0.1,0,0.0367,0.3227,70.4457
1980-07-27T00:00:00Z,1980-07-28T00:00:00Z,188.66034,Lightning,Natural,7,South Coast and Montane,42488.862,14.2,31,0.0267,0.0967,8.0353
1980-07-27T00:00:00Z,NA,814.45624,Lightning,Natural,7,South Coast and Montane,42488.862,37.8,26.5,0.0332,0.1158,10.7358
1980-07-27T00:00:00Z,NA,10957.005,Unknown / Unidentified,Other,8,South Interior,103810.781,9.1,4.4,0.1218,0.5114,87.1678
1980-07-27T00:00:00Z,NA,769.49969,Lightning,Natural,7,South Coast and Montane,42488.862,38.8,34.8,0.0343,0.1333,8.2221
1980-07-27T00:00:00Z,1980-07-28T00:00:00Z,676.29419,Lightning,Natural,5,Central Valley,74899.613,33.2,27.8,1.5415,0.0727,9.9089
1980-07-27T00:00:00Z,1980-07-31T00:00:00Z,589.4527,Lightning,Natural,5,Central Valley,74899.613,22.6,20.1,2.1107,0.0945,18.1684
1980-07-27T00:00:00Z,1980-07-28T00:00:00Z,19.998156,Lightning,Natural,4,South Sierran,31366.273,47.5,42.8,1.719,0.045,2.1208
1980-07-28T00:00:00Z,NA,520.85797,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,5,7.5,0.6793,0.737,364.3681
1980-07-28T00:00:00Z,NA,361.5802,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,26.2,24,0.0316,0.4536,119.8563
1980-07-28T00:00:00Z,NA,1360.3999,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,6.1,7.4,0.0989,0.5919,95.1052
